Date,Time,Open,High,Low,Close,Volume
2008.09.19,0:00,1.4342,1.4497,1.4151,1.4459,58464
2008.09.22,0:00,1.449,1.4866,1.4436,1.4774,49318
2008.09.23,0:00,1.4774,1.4825,1.4622,1.4649,47258
2008.09.24,0:00,1.4645,1.4746,1.461,1.4621,43954
2008.09.25,0:00,1.4617,1.4768,1.4583,1.4608,42653
2008.09.26,0:00,1.4615,1.4677,1.4568,1.4612,35659
2008.09.29,0:00,1.454,1.4572,1.4302,1.4434,51677
2008.09.30,0:00,1.442,1.4427,1.4009,1.4092,53721
2008.10.01,0:00,1.4095,1.4174,1.3975,1.4007,47941
2008.10.02,0:00,1.4002,1.403,1.3746,1.3818,54907
2008.10.03,0:00,1.3809,1.3907,1.3702,1.3771,54818
2008.10.06,0:00,1.3667,1.3705,1.3443,1.3499,65178
2008.10.07,0:00,1.3496,1.3743,1.3479,1.3588,33969
2008.10.08,0:00,1.3589,1.3755,1.3544,1.3651,45854
2008.10.09,0:00,1.3641,1.3785,1.358,1.3604,54269
2008.10.10,0:00,1.3585,1.3651,1.3258,1.3403,67947
2008.10.13,0:00,1.3549,1.3683,1.3456,1.3582,51944
2008.10.14,0:00,1.3579,1.3769,1.3579,1.3618,57860
2008.10.15,0:00,1.361,1.3688,1.3483,1.3498,56067
2008.10.16,0:00,1.3465,1.3538,1.3345,1.3454,68836
2008.10.17,0:00,1.3464,1.3517,1.3386,1.3405,52232
2008.10.20,0:00,1.3426,1.353,1.3288,1.3342,44344
2008.10.21,0:00,1.3344,1.3358,1.305,1.3062,44888
2008.10.22,0:00,1.3061,1.3077,1.2737,1.2852,66133
2008.10.23,0:00,1.2858,1.2938,1.2726,1.2932,68659
2008.10.24,0:00,1.2975,1.3005,1.2495,1.262,94132
2008.10.27,0:00,1.2552,1.2684,1.2334,1.2493,74905
2008.10.28,0:00,1.2492,1.2742,1.2328,1.2681,73105
2008.10.29,0:00,1.2679,1.2991,1.2625,1.2959,84977
2008.10.30,0:00,1.2964,1.3297,1.2805,1.2914,73094
2008.10.31,0:00,1.2911,1.2915,1.2667,1.2723,70947
2008.11.03,0:00,1.2734,1.2898,1.2595,1.2642,47293
2008.11.04,0:00,1.2642,1.3028,1.2525,1.2997,60112
2008.11.05,0:00,1.2998,1.3116,1.2792,1.2917,70414
2008.11.06,0:00,1.2915,1.2976,1.2709,1.2714,69705
2008.11.07,0:00,1.2713,1.2849,1.2662,1.2763,27361
2008.11.10,0:00,1.2815,1.2927,1.2718,1.2749,30461
2008.11.11,0:00,1.2748,1.28,1.2506,1.2522,29752
2008.11.12,0:00,1.2521,1.2631,1.2465,1.2506,38368
2008.11.13,0:00,1.2505,1.2854,1.2389,1.277,41602
2008.11.14,0:00,1.2769,1.2828,1.2573,1.2604,34578
2008.11.17,0:00,1.2536,1.2741,1.2512,1.2649,32378
2008.11.18,0:00,1.265,1.27,1.2566,1.2617,29845
2008.11.19,0:00,1.2618,1.2813,1.2484,1.2488,22587
2008.11.20,0:00,1.2489,1.2593,1.2434,1.2453,30960
2008.11.21,0:00,1.2452,1.2637,1.2425,1.2587,31201
2008.11.24,0:00,1.2607,1.2954,1.2563,1.2952,29391
2008.11.25,0:00,1.2954,1.308,1.2804,1.3064,30924
2008.11.26,0:00,1.3065,1.307,1.2819,1.2879,26130
2008.11.27,0:00,1.2878,1.2968,1.286,1.2905,15894
2008.11.28,0:00,1.2904,1.2957,1.2646,1.269,16686
2008.12.01,0:00,1.2693,1.2712,1.2585,1.261,13745
2008.12.02,0:00,1.2609,1.2765,1.2563,1.2713,15706
2008.12.03,0:00,1.2712,1.274,1.26,1.2716,14778
2008.12.04,0:00,1.2715,1.2846,1.2552,1.2776,14624
2008.12.05,0:00,1.2777,1.2797,1.2627,1.2718,15671
2008.12.08,0:00,1.272,1.2966,1.2714,1.2958,12570
2008.12.09,0:00,1.2959,1.3,1.2799,1.2926,13165
2008.12.10,0:00,1.2925,1.3069,1.2903,1.3021,12209
2008.12.11,0:00,1.3022,1.3406,1.3002,1.3352,56014
2008.12.12,0:00,1.3348,1.3416,1.3249,1.337,143520
2008.12.15,0:00,1.339,1.3722,1.339,1.3686,75290
2008.12.16,0:00,1.3687,1.4148,1.3628,1.3999,86139
2008.12.17,0:00,1.4001,1.4438,1.3992,1.4418,80136
